"filename", "language", "JavaScript", "XML", "CSS", "Markdown", "JSON", "JSON with Comments", "Prisma", "Ini", "comment", "blank", "total"
"c:\proj\README.md", "Markdown", 0, 0, 0, 21, 0, 0, 0, 0, 0, 14, 35
"c:\proj\desktop.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\proj\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\proj\next.config.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 1, 2, 25
"c:\proj\package-lock.json", "JSON", 0, 0, 0, 0, 5523, 0, 0, 0, 0, 1, 5524
"c:\proj\package.json", "JSON", 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 47
"c:\proj\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\proj\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 374, 0, 13, 66, 453
"c:\proj\public\next.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\proj\public\vercel.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\proj\src\app\api\auth\[...nextauth]\route.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 1, 6, 48
"c:\proj\src\app\api\hr\verify\route.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\proj\src\app\auth\page.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\proj\src\app\auth\role\page.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47
"c:\proj\src\app\auth\verify\page.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"c:\proj\src\app\companyprofile\[id]\page.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 12, 63
"c:\proj\src\app\companyprofile\createvacancy\page.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\proj\src\app\companyprofile\edit\page.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"c:\proj\src\app\companyprofile\layout.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\proj\src\app\companyprofile\page.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\proj\src\app\error.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 10, 67
"c:\proj\src\app\feed\[category]\loading.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\proj\src\app\feed\[category]\page.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\proj\src\app\feed\layout.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\proj\src\app\feed\loading.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\proj\src\app\feed\page.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\proj\src\app\feed\post\[id]\page.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\proj\src\app\feed\post\page.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\proj\src\app\globals.css", "CSS", 0, 0, 103, 0, 0, 0, 0, 0, 22, 21, 146
"c:\proj\src\app\hr\verify\[token]\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\proj\src\app\landing\page.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\proj\src\app\layout.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\proj\src\app\loading.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\proj\src\app\messenger\[chatId]\page.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\proj\src\app\messenger\layout.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\proj\src\app\messenger\page.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\proj\src\app\not-found.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 11, 71
"c:\proj\src\app\page.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
